	fitness	number_of_trades	rate_of_return	risk	sharpe_ratio
Run0	23.19725479673432	49	1.0108038723463317	0.04249657474491818	23.19725479673432	
Run1	22.828472591017512	49	1.0413618931949982	0.04452167744218304	22.828472591017512	
Run2	23.15320539703375	49	1.000924133810497	0.0421507137813206	23.15320539703375	
Run3	22.572825451949967	48	1.0388749462370128	0.04491573057148806	22.572825451949967	
Run4	22.487041108019177	48	0.990469537866085	0.04293448538775454	22.487041108019177	
Run5	22.27354577264779	49	1.0318470051023367	0.04520371454906647	22.27354577264779	
Run6	22.01422945929036	48	0.9586011616717465	0.042408986578349295	22.01422945929036	
Run7	23.19725479673432	49	1.0108038723463317	0.04249657474491818	23.19725479673432	
Run8	22.12658673111628	47	0.9748383947109138	0.04292747029866882	22.12658673111628	
Run9	23.152440968859104	50	1.0088022484956325	0.04249237692988325	23.152440968859104	
Run10	23.152440968859104	50	1.0088022484956325	0.04249237692988325	23.152440968859104	
Run11	22.438429271250428	49	0.9804000403702211	0.04257873975137563	22.438429271250428	
Run12	21.147881631736443	47	1.0004014564360473	0.04612289180644319	21.147881631736443	
Run13	21.93953820918843	48	0.9546768783095307	0.042374496192457485	21.93953820918843	
Run14	21.93953820918843	48	0.9546768783095307	0.042374496192457485	21.93953820918843	
Run15	23.19725479673432	49	1.0108038723463317	0.04249657474491818	23.19725479673432	
Run16	21.484310361956688	49	1.0288216745030874	0.04672347669490957	21.484310361956688	
Run17	22.051496623022153	51	1.019747015548195	0.04511018152435338	22.051496623022153	
Run18	21.93953820918843	48	0.9546768783095307	0.042374496192457485	21.93953820918843	
Run19	22.134418542408433	48	0.9715139462281102	0.0427620876696913	22.134418542408433	
Run20	19.150868478071978	51	0.9227791671716418	0.046879292612740354	19.150868478071978	
Run21	23.221817810967522	49	1.0059246215423305	0.042241508805527093	23.221817810967522	
Run22	22.867589018175053	49	0.991018565722519	0.04224400591399172	22.867589018175053	
Run23	21.802575937704223	47	1.0291833970837259	0.04605801626160807	21.802575937704223	
Run24	20.90370266706875	51	0.9696056532807966	0.04518843710731249	20.90370266706875	
Run25	20.50751539467083	50	0.9522083967068302	0.04521310255594291	20.50751539467083	
Run26	20.15418981492501	54	0.879525445833765	0.04239939455174494	20.15418981492501	
Run27	23.05762656379412	48	1.0024868343121074	0.04239321127036513	23.05762656379412	
Run28	21.943978497162945	47	1.0344417304333757	0.04600085306153042	21.943978497162945	
Run29	23.152440968859104	50	1.0088022484956325	0.04249237692988325	23.152440968859104	
Run30	23.105388500988518	50	0.998922509959798	0.042151315045757864	23.105388500988518	
Run31	23.05762656379412	48	1.0024868343121074	0.04239321127036513	23.05762656379412	
Run32	21.095488802176913	54	0.909917182862552	0.04194817153377524	21.095488802176913	
Run33	21.438944867290306	48	0.9972309487052404	0.04534882452114453	21.438944867290306	
Run34	21.618169647030427	49	1.0336473716474293	0.04665738996945941	21.618169647030427	
Run35	22.487041108019177	48	0.990469537866085	0.04293448538775454	22.487041108019177	
Run36	23.15320539703375	49	1.000924133810497	0.0421507137813206	23.15320539703375	
Run37	21.827233065655207	49	0.9476747667269982	0.04227172376597801	21.827233065655207	
Run38	22.00804702194027	49	1.0047315504222087	0.04451696915430498	22.00804702194027	
Run39	21.943978497162945	47	1.0344417304333757	0.04600085306153042	21.943978497162945	
Run40	23.19725479673432	49	1.0108038723463317	0.04249657474491818	23.19725479673432	
Run41	22.487041108019177	48	0.990469537866085	0.04293448538775454	22.487041108019177	
Run42	23.0014536336562	49	1.003733674106012	0.04255094872238461	23.0014536336562	
Run43	20.443097231371482	51	0.9772887060410647	0.04658240849041727	20.443097231371482	
Run44	22.799759279674696	50	0.9924654351569586	0.042433142529685615	22.799759279674696	
Run45	23.15320539703375	49	1.000924133810497	0.0421507137813206	23.15320539703375	
Run46	21.93953820918843	48	0.9546768783095307	0.042374496192457485	21.93953820918843	
Run47	22.337785813213436	50	0.9609389029669253	0.041899358817080734	22.337785813213436	
Run48	21.287548153569865	47	1.0056597897856971	0.04606729637021364	21.287548153569865	
Run49	21.93953820918843	48	0.9546768783095307	0.042374496192457485	21.93953820918843	
