	fitness	number_of_trades	rate_of_return	risk	sharpe_ratio
Run0	1.2205574368242922	3	0.23632632814743043	0.1731391917919651	1.2205574368242922	
Run1	1.4352288168540246	4	0.24345544465624552	0.15220948889187777	1.4352288168540246	
Run2	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run3	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run4	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run5	1.4352288168540246	4	0.24345544465624552	0.15220948889187777	1.4352288168540246	
Run6	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run7	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run8	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run9	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run10	1.2205574368242922	3	0.23632632814743043	0.1731391917919651	1.2205574368242922	
Run11	1.4352288168540246	4	0.24345544465624552	0.15220948889187777	1.4352288168540246	
Run12	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run13	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run14	1.2205574368242922	3	0.23632632814743043	0.1731391917919651	1.2205574368242922	
Run15	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run16	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run17	1.4352288168540246	4	0.24345544465624552	0.15220948889187777	1.4352288168540246	
Run18	1.2205574368242922	3	0.23632632814743043	0.1731391917919651	1.2205574368242922	
Run19	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run20	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run21	1.3132488480966575	3	0.24848586927196264	0.17017785288437098	1.3132488480966575	
Run22	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run23	1.2205574368242922	3	0.23632632814743043	0.1731391917919651	1.2205574368242922	
Run24	1.3132488480966575	3	0.24848586927196264	0.17017785288437098	1.3132488480966575	
Run25	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run26	1.2205574368242922	3	0.23632632814743043	0.1731391917919651	1.2205574368242922	
Run27	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run28	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run29	1.2205574368242922	3	0.23632632814743043	0.1731391917919651	1.2205574368242922	
Run30	1.4352288168540246	4	0.24345544465624552	0.15220948889187777	1.4352288168540246	
Run31	1.4352288168540246	4	0.24345544465624552	0.15220948889187777	1.4352288168540246	
Run32	1.2205574368242922	3	0.23632632814743043	0.1731391917919651	1.2205574368242922	
Run33	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run34	1.4352288168540246	4	0.24345544465624552	0.15220948889187777	1.4352288168540246	
Run35	1.2205574368242922	3	0.23632632814743043	0.1731391917919651	1.2205574368242922	
Run36	1.4352288168540246	4	0.24345544465624552	0.15220948889187777	1.4352288168540246	
Run37	1.3132488480966575	3	0.24848586927196264	0.17017785288437098	1.3132488480966575	
Run38	1.4352288168540246	4	0.24345544465624552	0.15220948889187777	1.4352288168540246	
Run39	1.2205574368242922	3	0.23632632814743043	0.1731391917919651	1.2205574368242922	
Run40	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run41	1.2205574368242922	3	0.23632632814743043	0.1731391917919651	1.2205574368242922	
Run42	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run43	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run44	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run45	1.4352288168540246	4	0.24345544465624552	0.15220948889187777	1.4352288168540246	
Run46	1.3132488480966575	3	0.24848586927196264	0.17017785288437098	1.3132488480966575	
Run47	1.3132488480966575	3	0.24848586927196264	0.17017785288437098	1.3132488480966575	
Run48	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
Run49	1.2550719747291956	3	0.24088740781702525	0.17201197394564313	1.2550719747291956	
